Model,Accuracy,F1-score
RF_basic,0.8614634146341463,0.8588834732843794
RF_test_est_10,0.8380487804878048,0.8354670921108498
RF_test_est_1000,0.8624390243902439,0.860272521059985
RF_depth_10,0.8097560975609757,0.8052390891341188
RF_depth_20,0.8570731707317073,0.8548171979182524
RF_depth_50,0.8614634146341463,0.8588834732843794
